[2026-09-03 11:51:59] Testing server logging
[2026-09-04 13:51:40] CPU: 2.3% | Memory: 41.1% | Disk: 13.3% | Status: HEALTHY
[2026-09-04 13:51:51] CPU: 0.0% | Memory: 41.0% | Disk: 13.3% | Status: HEALTHY
[2026-09-04 13:52:02] CPU: 1.0% | Memory: 41.0% | Disk: 13.3% | Status: HEALTHY
[2026-09-04 13:52:13] CPU: 0.8% | Memory: 41.0% | Disk: 13.3% | Status: HEALTHY
[2026-09-04 13:52:24] CPU: 2.8% | Memory: 41.0% | Disk: 13.3% | Status: HEALTHY
[2026-09-04 13:52:35] CPU: 0.8% | Memory: 41.0% | Disk: 13.3% | Status: HEALTHY
[2026-09-04 13:52:46] CPU: 2.6% | Memory: 41.1% | Disk: 13.3% | Status: HEALTHY
[2026-09-04 13:52:57] CPU: 0.5% | Memory: 41.2% | Disk: 13.3% | Status: HEALTHY
[2026-09-04 13:53:08] CPU: 0.8% | Memory: 41.1% | Disk: 13.3% | Status: HEALTHY
[2026-09-04 13:53:19] CPU: 0.8% | Memory: 41.0% | Disk: 13.3% | Status: HEALTHY
[2026-09-04 13:53:30] CPU: 0.5% | Memory: 41.1% | Disk: 13.3% | Status: HEALTHY
[2026-09-04 14:14:03] CPU: 3.1% | Memory: 41.5% | Disk: 13.3% | Status: HEALTHY
[2026-09-04 14:14:14] CPU: 0.3% | Memory: 41.5% | Disk: 13.3% | Status: HEALTHY
[2026-09-04 14:14:25] CPU: 1.3% | Memory: 41.6% | Disk: 13.3% | Status: HEALTHY
[2026-09-04 14:14:36] CPU: 1.3% | Memory: 41.5% | Disk: 13.3% | Status: HEALTHY
[2026-09-04 14:14:47] CPU: 0.8% | Memory: 41.4% | Disk: 13.3% | Status: HEALTHY
[2026-09-04 14:14:58] CPU: 0.8% | Memory: 41.4% | Disk: 13.3% | Status: HEALTHY
[2026-09-04 14:15:09] CPU: 1.0% | Memory: 41.5% | Disk: 13.3% | Status: HEALTHY
[2026-09-04 14:15:20] CPU: 0.8% | Memory: 41.5% | Disk: 13.3% | Status: HEALTHY
[2026-09-04 14:25:31] CPU: 3.3% | Memory: 41.7% | Disk: 13.3% | Status: HEALTHY
[2026-09-04 14:25:42] CPU: 4.3% | Memory: 41.7% | Disk: 13.3% | Status: HEALTHY
[2026-09-05 04:20:55] CPU: 2.5% | Memory: 42.8% | Disk: 13.8% | Status: HEALTHY
[2026-09-05 04:21:06] CPU: 0.7% | Memory: 42.4% | Disk: 13.8% | Status: HEALTHY
[2026-09-05 05:06:14] CPU: 5.2% | Memory: 43.1% | Disk: 13.8% | Status: HEALTHY
[2026-09-05 05:06:25] CPU: 0.5% | Memory: 43.1% | Disk: 13.8% | Status: HEALTHY
[2026-09-05 05:06:36] CPU: 0.3% | Memory: 42.8% | Disk: 13.8% | Status: HEALTHY
[2026-09-05 05:06:47] CPU: 0.8% | Memory: 42.8% | Disk: 13.8% | Status: HEALTHY
[2026-09-05 05:06:58] CPU: 0.8% | Memory: 42.8% | Disk: 13.8% | Status: HEALTHY
[2026-09-05 05:07:09] CPU: 0.8% | Memory: 42.7% | Disk: 13.8% | Status: HEALTHY
[2026-09-05 05:07:20] CPU: 0.5% | Memory: 42.8% | Disk: 13.8% | Status: HEALTHY
[2026-09-05 05:07:31] CPU: 1.0% | Memory: 42.7% | Disk: 13.8% | Status: HEALTHY
[2026-09-05 05:07:42] CPU: 0.5% | Memory: 42.7% | Disk: 13.8% | Status: HEALTHY
[2026-09-05 05:07:53] CPU: 1.0% | Memory: 42.7% | Disk: 13.8% | Status: HEALTHY
[2026-09-05 05:08:04] CPU: 1.0% | Memory: 42.7% | Disk: 13.8% | Status: HEALTHY
[2026-09-05 05:08:15] CPU: 0.8% | Memory: 42.7% | Disk: 13.8% | Status: HEALTHY
[2026-09-05 10:30:46] CPU: 4.6% | Memory: 43.2% | Disk: 13.7% | Status: HEALTHY
[2026-09-05 10:30:57] CPU: 2.8% | Memory: 43.1% | Disk: 13.7% | Status: HEALTHY
